gene,1011_0001_CSS,1011_0002_Control,1011_0003_Control,1011_0004_CSS,1011_0005_Control,1011_0006_Control,1011_0007_CSS,1011_0008_CSS,1011_0009_Control,1011_0010_Control,1011_0011_CSS,1011_0012_CSS,1011_0013_CSS,1011_0014_CSS,1011_0015_CSS,1011_0016_CSS,1011_0017_CSS,1011_0018_CSS,1011_0019_Control,1011_0020_Control,1011_0021_CSS,1011_0022_CSS,1011_0023_CSS,1011_0024_CSS
ENSMUSG00000000001_Gnai3,6.5,13.25,6.52,4.14,4.46,4.05,8.850000000000001,5.41,5.41,2.68,9.709999999999999,1.6700000000000002,7.04,3.51,5.37,3.9699999999999998,8.38,9.54,8.66,7.38,3.8299999999999996,7.38,9.68,3.66
ENSMUSG00000000056_Narf,12.32,20.88,4.09,10.709999999999999,13.34,8.639999999999999,16.84,10.53,13.83,9.639999999999999,19.56,4.88,18.56,11.56,13.15,10.450000000000001,8.26,13.41,22.4,23.2,16.6,19.959999999999997,21.79,18.68
ENSMUSG00000000058_Cav2,13.99,3.71,4.159999999999999,13.56,6.31,11.34,1.85,13.370000000000001,9.66,6.68,7.37,2.9,19.14,9.950000000000001,11.33,14.870000000000001,16.29,16.279999999999998,3.06,8.209999999999999,5.52,22.49,33.09,1.33
ENSMUSG00000000078_Klf6,23.04,24.130000000000003,11.84,13.01,21.34,14.360000000000001,15.870000000000001,18.41,15.350000000000001,16.03,14.18,16.57,24.479999999999997,17.51,20.979999999999997,12.96,14.629999999999999,14.62,24.95,15.59,19.18,22.57,26.89,12.12
ENSMUSG00000000085_Scmh1,3.77,13.25,8.81,4.73,11.8,10.03,6.03,14.31,12.15,13.04,6.06,9.44,27.04,26.77,20.52,22.08,20.479999999999997,11.41,19.610000000000003,21.7,11.76,30.21,19.830000000000002,17.279999999999998
ENSMUSG00000000088_Cox5a,1492.23,1588.72,1665.47,1649.8,1383.36,1451.46,1682.12,1717.92,1627.48,1723.1599999999999,1484.11,1811.09,1462.8,1581.8799999999999,1493.92,1587.6799999999998,1355.11,1487.33,1732.02,1728.06,1687.49,1278.93,1282.84,1316.44
ENSMUSG00000000126_Wnt9a,0.2,0.93,3.6,0.97,3.06,0.48000000000000004,3.55,3.9699999999999998,4.54,2.8499999999999996,0.48000000000000004,5.67,3.9899999999999998,6.99,3.46,4.21,3.57,2.4499999999999997,1.55,3.2600000000000002,1.02,3.1,3.7,0.54
ENSMUSG00000000127_Fer,6.1499999999999995,5.99,6.35,2.62,9.88,6.54,7.359999999999999,5.930000000000001,5.609999999999999,10.91,6.09,5.1499999999999995,8.33,7,9.34,9.38,5.24,4.970000000000001,5.109999999999999,7.359999999999999,5.56,8.28,7.3,9.49
ENSMUSG00000000131_Xpo6,31.85,33.92,21.830000000000002,37.25,17.419999999999998,31.75,21.36,26.35,23.4,24.75,27.62,36.82,22.56,41.59,31.979999999999997,34.3,32.63,33.949999999999996,34.53,17.77,39.82,33.61,61.82,15.93
ENSMUSG00000000134_Tfe3,4.17,10.239999999999998,6.470000000000001,5.2700000000000005,8.12,9.54,4.319999999999999,5.319999999999999,5.07,5.88,8.61,6.05,13.49,9.739999999999998,14.34,1.1600000000000001,8.53,14.11,14.91,8.46,8.57,14.68,7.71,3.54
ENSMUSG00000000142_Axin2,0.8500000000000001,0.1,0.35,0.14,1.6300000000000001,0.44,1.61,0.4,3.04,1.26,2.05,2.16,2.24,2.01,1.34,1.51,0.91,1.62,2.38,1.6500000000000001,0.62,2.06,1.23,1.6900000000000002
ENSMUSG00000000148_Brat1,7.63,10.43,5.58,2.34,9.3,3.58,7.17,5.24,10.32,7.13,7.76,7.34,4.79,9.03,3.29,5.96,4.07,1.85,9.239999999999998,5.63,5.21,9.18,8.18,17.85
ENSMUSG00000000149_Gna12,8.31,7.73,21.16,5.01,6.01,19.66,6.52,3.46,7.63,3.72,6.51,8.219999999999999,38.660000000000004,13.950000000000001,9.639999999999999,10.76,12.209999999999999,12.25,11.629999999999999,10.02,10.03,13.92,15.48,2.65
ENSMUSG00000000167_Pih1d2,8.18,2.9099999999999997,0.17,11.29,7.25,5.29,2.2,3.98,1.6700000000000002,9.75,5.49,1.25,9.09,1.28,0.74,15.33,1.48,1.91,6.07,2.55,10.06,6.08,0,0
ENSMUSG00000000168_Dlat,35.720000000000006,27.62,29.84,18.459999999999997,28.97,30.35,31.51,34.220000000000006,35.6,36.65,32.98,26.03,38.58,29.24,40.15,32.06,43.309999999999995,40.44,37.41,46.339999999999996,42.220000000000006,29.91,51.39,20.06
ENSMUSG00000000171_Sdhd,257.78,257.65000000000003,268.22999999999996,256.28,168.66,212.20999999999998,262.95,301.75,209.29,290.71999999999997,200.76999999999998,226.3,236.99,220,170.38000000000002,196.15,207.9,266.2,267.35,248.84,304.21,212.5,191.43,264.75
ENSMUSG00000000184_Ccnd2,101.92,87.17999999999999,88.2,76.39,85.23,48.61,77.61999999999999,82.38,72.61999999999999,87.08,138.48000000000002,141.03,111.14999999999999,133.05,122.71000000000001,48.68,92.7,76.19,83.94000000000001,72.63,95.53,119.85,112.84,46.17
ENSMUSG00000000194_Gpr107,10.59,7.26,3.8899999999999997,7.87,2.5,2.7600000000000002,5.35,6.18,4.83,2.8099999999999996,5.26,3.52,5.41,8.44,7.24,4.04,3.9299999999999997,6.25,5.1899999999999995,5.619999999999999,6.91,3.64,9.16,1.45
ENSMUSG00000000197_Nalcn,3.4699999999999998,5.52,5.89,7.33,6.51,5.6,8.350000000000001,4.37,4.96,5.37,11.62,4.319999999999999,4.31,5.91,6.9,5.94,4.53,5.37,11.55,7.25,5.92,6.49,5.51,5.6499999999999995
