sampleName,MFGroup,Sample.ID.TA,ENSMUSG00000027273_Snap25,ENSMUSG00000070570_Slc17a7,ENSMUSG00000070880_Gad1,ENSMUSG00000024411_Aqp4,ENSMUSG00000050121_Opalin,ENSMUSG00000029231_Pdgfra,ENSMUSG00000038642_Ctss,ENSMUSG00000061718_Ppp1r1b,ENSMUSG00000051920_Rspo2
1011_0002,Control,6,1704.51,668.1800000000001,20.4,5.1,12.5,1.05,36.949999999999996,43.15,12.8
1011_0003,Control,7,1384.9,525.22,17.27,4.34,42.620000000000005,1.6900000000000002,32.18,67.52,17.07
1011_0005,Control,9,1343.34,537.75,17.08,2.79,12.950000000000001,0.58,32.48,57.879999999999995,7.2700000000000005
1011_0006,Control,12,1281.7,501.56,21.4,3.17,27.919999999999998,0.92,42.730000000000004,47.02,15.26
1011_0009,Control,17,2044.5,789.03,26.03,6.14,11.89,1.6800000000000002,32.15,61.25,22.779999999999998
1011_0010,Control,18,2018.3899999999999,865.41,20.650000000000002,3.3,6.430000000000001,2.72,31.05,49.27,27.17
1011_0019,Control,27,2217.3900000000003,860.31,28.150000000000002,4.59,2.32,1.27,28.82,52.57,20.05
1011_0020,Control,28,2288.75,744.7700000000001,35.91,3.7600000000000002,6.98,1.05,32.96,58.92,18.38
1011_0001,CSS,4,1366.91,504.75,30.59,1.81,14.78,0.91,28.150000000000002,148.23,9.629999999999999
1011_0004,CSS,8,1100.43,374.54,13.39,4.24,10.27,0.31,19.19,35.220000000000006,8.11
1011_0007,CSS,15,1822.03,839.4,16.16,2.9099999999999997,9.9,1.1800000000000002,35.87,53.53,28.479999999999997
1011_0008,CSS,16,1985.87,912.06,16.68,3.84,7.6899999999999995,1.43,30.3,60.07,22.05
1011_0011,CSS,19,1766.04,746.4599999999999,29.5,5.72,15.8,0.89,46.03,76.54,11.06
1011_0012,CSS,20,1539.56,525.69,19.759999999999998,4.63,0.5700000000000001,0.91,27.759999999999998,73.61,22.939999999999998
1011_0013,CSS,21,1954.8799999999999,781.19,32.37,11.67,23.22,1.6800000000000002,47.4,142.23999999999998,11.76
1011_0014,CSS,22,1722.53,722.3299999999999,29.54,4.6499999999999995,10.350000000000001,0.64,20.279999999999998,118.09,8.67
1011_0015,CSS,23,1802.5,735.59,17.03,7.79,17.87,2.29,40.49,99.16999999999999,16.55
1011_0016,CSS,24,1514.6599999999999,523.2,22.69,3.86,4.930000000000001,0.54,25.330000000000002,51.13,22.959999999999997
1011_0017,CSS,25,2040.99,588.3499999999999,60.160000000000004,2.7,37.790000000000006,2.2,34.18,110.13,20.130000000000003
1011_0018,CSS,26,2346.72,854.37,28.57,13.96,24.53,5.319999999999999,53.82,73.53,21.93
1011_0021,CSS,29,2358.71,910,31.99,6.7700000000000005,2.21,0.39,41.1,32.220000000000006,41.65
1011_0022,CSS,30,1479.4,629.57,84.43,42.849999999999994,13.78,2.69,66.36999999999999,87.29,10.92
1011_0023,CSS,31,1957.6699999999998,981.04,42.46,21.479999999999997,15.709999999999999,3.22,58.25,93.06,24.14
1011_0024,CSS,32,1134.6699999999998,361.72999999999996,8.81,5.359999999999999,22.25,3.04,44.77,36.04,14.61
