gene,1055_0001_Control,1055_0003_Control,1055_0004_Control,1055_0005_Control,1055_0006_Cre,1055_0007_Cre,1055_0008_Cre,1055_0009_Cre,1055_0010_Cre,1055_0011_Cre,1055_0012_Control
ENSMUSG00000000001_Gnai3,10.12,5.58,5.06,5.37,3.9,5.119999999999999,5.98,4.96,8.78,5.13,5.81
ENSMUSG00000000049_Apoh,0,0,0,0,2.5,0.8,0,7.94,1,0,3.71
ENSMUSG00000000056_Narf,10.47,12,15.66,4.46,7.14,13.41,6.46,5.6899999999999995,7.48,11.08,11.17
ENSMUSG00000000058_Cav2,10,8.48,11.05,8.43,8.04,8.850000000000001,6.1,20.939999999999998,11.94,5.57,11.26
ENSMUSG00000000078_Klf6,11.66,11.41,13.08,7.4,8.17,14.69,15.78,20.58,18.03,15.02,15.82
ENSMUSG00000000085_Scmh1,19.68,13.93,10.66,16.82,11.91,11.39,18.27,33.720000000000006,20.21,20.57,7.78
ENSMUSG00000000088_Cox5a,1683.25,1988.6499999999999,1818.23,2155.03,1278.46,1677.08,1878.3899999999999,1638.07,1368.6599999999999,1989.46,1552.83
ENSMUSG00000000126_Wnt9a,0,1.24,0.7799999999999999,1.04,1.6300000000000001,0,0.8600000000000001,1.49,0.93,0,2.8099999999999996
ENSMUSG00000000127_Fer,6.51,9.43,7.35,11.5,10,5.41,7.09,11.77,7.859999999999999,7.87,7.2
ENSMUSG00000000131_Xpo6,22.57,20.259999999999998,19.85,45.99,26.58,25.150000000000002,15.01,37.44,44.230000000000004,29.05,45.14
ENSMUSG00000000134_Tfe3,6.930000000000001,9,6.38,4.2,6.3,10.83,8.08,10.27,6.84,5.03,5.3
ENSMUSG00000000142_Axin2,1.1800000000000002,0.74,1.6300000000000001,3.2800000000000002,0.8600000000000001,2.24,1.47,2.2,1.94,0.25,0.99
ENSMUSG00000000148_Brat1,4.430000000000001,6.42,5.06,2.94,4.119999999999999,1.84,2.2800000000000002,2.4099999999999997,1.6400000000000001,6.3,12.89
ENSMUSG00000000149_Gna12,12.09,6.02,6.53,3.34,13.39,19.58,16.72,14.52,8.950000000000001,9.32,6.71
ENSMUSG00000000167_Pih1d2,8.360000000000001,5.09,4.23,4.73,11.44,7.84,8.2,6.930000000000001,3.15,3.8499999999999996,2.3899999999999997
ENSMUSG00000000168_Dlat,14.9,29.959999999999997,26,16.36,9.77,15.12,19.73,26.779999999999998,19.34,25.3,24.779999999999998
ENSMUSG00000000171_Sdhd,288.36,270.87,317.85,234.73,219.14,258.40999999999997,266.13,272.11,268.9,275.06,254.05
ENSMUSG00000000184_Ccnd2,46.5,44.6,114.33,106.96000000000001,61.25,54.47,32.08,90.58,65.81,44.790000000000006,73.83
ENSMUSG00000000194_Gpr107,3.53,5.470000000000001,6,5.94,2.7800000000000002,2.36,1.79,9.53,3.9499999999999997,3.19,7.84
ENSMUSG00000000197_Nalcn,5.29,4.83,3.3499999999999996,5.04,3.65,2.96,4.67,2.2800000000000002,5.7,2.46,5.8
ENSMUSG00000000202_Btbd17,14.61,3.32,20.919999999999998,6.91,10.729999999999999,11.31,11.5,19.130000000000003,19.23,14.26,20.04
ENSMUSG00000000223_Drp2,3.38,4.87,2.5,3.55,3.01,2.9699999999999998,4.13,2.1,2.94,2.36,3.3499999999999996
ENSMUSG00000000247_Lhx2,11.139999999999999,5.07,6.930000000000001,7.91,9.06,3.67,13.360000000000001,10.56,9.05,2.8299999999999996,18.07
ENSMUSG00000000253_Gmpr,76.47,110.03,117.17999999999999,58.36,47.33,44.56,61.82,61.93,67.31,86.3,79.71000000000001
ENSMUSG00000000266_Mid2,1.96,0.6699999999999999,0.7799999999999999,0.71,3.3299999999999996,0.18,0.58,1.95,0.72,0.29000000000000004,0.32999999999999996
ENSMUSG00000000276_Dgke,3.53,5.159999999999999,3.3699999999999997,7.05,2.4299999999999997,2.2,4.859999999999999,6.2,3.56,2.03,5.05
ENSMUSG00000000278_Scpep1,10.139999999999999,10.07,15.81,8.62,16.04,25.38,9.39,13.03,13.629999999999999,16.99,10.89
ENSMUSG00000000282_Mnt,3.15,2.4299999999999997,1.25,3.27,2.11,2.8,2.73,2.94,2.58,3.65,3.12
ENSMUSG00000000290_Itgb2,0.22,1.51,0.96,0,7.07,10.84,4.6,6.68,0.7899999999999999,4.79,1.8
ENSMUSG00000000295_Hddc2,71.59,86.4,78.95,77.61,71.58,88.66,61.93,43.41,79.99000000000001,84.95,55
ENSMUSG00000000296_Tpd52l1,82.09,67.61999999999999,80.64999999999999,80.02,69.11999999999999,78.95,75.99000000000001,71.2,94.23,54.05,62.349999999999994
ENSMUSG00000000301_Pemt,6.83,13.49,18.57,10.709999999999999,7.37,8.78,14.51,10.04,5.159999999999999,10.78,8.219999999999999
ENSMUSG00000000305_Cdh4,13.99,4.71,6.26,6.609999999999999,5.29,4.930000000000001,11.33,7.609999999999999,9.78,6.04,10.11
ENSMUSG00000000308_Ckmt1,316.56,305.53,302.22999999999996,295.82,221.35000000000002,219.68,238.04,244.28,300.21,250.56,323.71
ENSMUSG00000000325_Arvcf,3.51,2.98,2.8699999999999997,6.64,5.64,5.95,5.42,7.319999999999999,4.67,3.57,10.29
ENSMUSG00000000326_Comt,151.68,134.20999999999998,181.49,96.05,144.07,142.95000000000002,159.2,151.66,130.4,159.59,144.73
ENSMUSG00000000339_Rtca,90.16999999999999,103.98,86.25,72.08,64.55,67.93,65.21000000000001,100.66,73.97,93.42,80.58
