sampleName,MFGroup,Sample.ID.TA,ENSMUSG00000027273_Snap25,ENSMUSG00000070570_Slc17a7,ENSMUSG00000070880_Gad1,ENSMUSG00000024411_Aqp4,ENSMUSG00000050121_Opalin,ENSMUSG00000029231_Pdgfra,ENSMUSG00000038642_Ctss,ENSMUSG00000061718_Ppp1r1b,ENSMUSG00000051920_Rspo2
1055_0001,Control,LM_1.1_1.2,1354.42,123.2,95.14999999999999,7.2700000000000005,18.830000000000002,2.36,157.60999999999999,212.66,5.84
1055_0003,Control,LM_3.1_3.2,2121.53,314.63,32.71,1.99,13.12,3.9,73.17999999999999,51.92,19.9
1055_0004,Control,LM_4.1_4.2,1609.08,325.5,31.62,2.24,17.02,0.25,64.77,61.220000000000006,4.96
1055_0005,Control,LM_5.1_5.2,1114.47,235.48000000000002,24.23,0.7,14.65,0.73,29.95,26.67,14.81
1055_0012,Control,LM_14.1_14.2,1254.1299999999999,249.79,68.22,4.44,16.51,2.55,81.13,76.22,3.8
1055_0006,Cre,LM_6.1_6.2_6.3,877.54,91.66999999999999,48.949999999999996,11.77,20.259999999999998,2.08,504.28999999999996,17.64,2.8299999999999996
1055_0007,Cre,LM_7.1_7.2,871.53,152.04,32.11,23.72,20.439999999999998,0.73,660.51,21.77,8.229999999999999
1055_0008,Cre,LM_8.1_8.2,1166.58,186.15,28.57,9.77,10.51,1.36,312.14000000000004,42.839999999999996,7.359999999999999
1055_0009,Cre,LM_9.1_9.2,1516.02,174.55,64.86,27.810000000000002,12.12,2.8899999999999997,590.01,40.78,9.09
1055_0010,Cre,LM_11.1_11.2,1136.36,135.89000000000001,61.98,10.02,9.41,3.4899999999999998,108.64,37.86,3.56
1055_0011,Cre,LM_12.1_12.2,1451.3899999999999,207.48000000000002,35.06,6.18,12.709999999999999,0.13,235.10999999999999,67.67999999999999,12.97
